OBJECTID,SITE,ADDRESS,EMAIL,PHONE,OPENING HOURS,Longitude,Latitude,OFFICE_TYP,GreatWalk
241,Arthurs Pass National Park Visitor Centre,"80 West Coast Rd., Arthurs Pass Town, SH 73",arthurspassvc@doc.govt.nz,0064 3 318 9211,"Open daily: Peak 8:00 am - 5:00 pm
Off-peak 8:30 am - 4:30 pm",171.5619814,-42.9407471,Visitor Centre,Any
226,Auckland Visitor Centre,"137 Quay St, Princes Wharf, Downtown, Auckland",aucklandvc@doc.govt.nz,0064 9 379 6476,"Mon - Fri 9:00 am - 5:00 pm
Sat and Sun 10:00 am - 4:00 pm between 13 October 2012 and 24 March 2013
On public holidays and winter weekends the DOC desk at the i-SITE is closed. However limited information is still available, including brochures, access to the DOC website and bookings.",174.7649835,-36.8418484,Visitor Centre,Any
355,Christchurch i-SITE Visitor Centre,"31 Nga Mahi Road, Sockburn, Christchurch",christchurchvc@doc.govt.nz,0064 3 341 9113,"Mon - Fri  8:30 am - 4:30 pm

Closed weekends and public holidays.
",172.5564952,-43.5403129,Visitor Centre,Any
205,Dawson Falls Visitor Centre,"end of Manaia Road, RD 29, Kaponga, Taranaki",dawsonfallsvc@doc.govt.nz,0064 27 443 0248,Open daily: Thur - Sun and public holidays 9:00 am - 4:00 pm.,174.1029478,-39.3241881,Visitor Centre,Any
346,Dunedin Visitor Centre,"Conservation House, 77 Lower Stuart Street, Dunedin",dunedinvc@doc.govt.nz,0064 3 477 0677,Open Daily 8:30 - 17:00,170.506115,-45.8749663,Visitor Centre,Any
204,Egmont National Park Visitor Centre,"2879 Egmont Road, Egmont Village",egmontvc@doc.govt.nz,0064 6 756 0990,"8:00 am - 4:30 pm - Open daily end of October to Easter
8:00 am - 4:00 pm - Winter",174.0958741,-39.2700834,Visitor Centre,Any
341,Fiordland National Park Visitor Centre,"Fiordland National Park Visitor Centre, Lakefront Drive, Te Anau",fiordlandvc@doc.govt.nz,0064 3 249 7924,"21 April 2012 - 22 October 2012: 8:30 am - 4:30 pm
23 October 2012 - 09 December 2012: 8:00 am - 5:00 pm
10 December 2012 - 17 March 2013: 8:00 am - 6:00 pm
25 December 2012: 8:30 am - 1:00 pm
18 March 2013 - 26 April 2013: 8:00 am - 5:00pm
",167.719484,-45.4237293,Visitor Centre,Any
292,Great Walks Booking Office,"Lakefront Drive, Te Anau",greatwalksbookings@doc.govt.nz,0064 3 249 8514,"21 April 2012 - 22 October 2012: 8:30 am - 4:30 pm
23 October 2012 - 09 December 2012: 8:00 am - 5:00 pm
10 December 2012 - 17 March 2013: 8:00 am - 6:00 pm
25 December 2012: 8:30 am - 1:00 pm
18 March 2013 - 26 April 2013: 8:00 am - 5:00pm",167.719484,-45.4237293,Visitor Centre,Any
338,Haast Visitor Centre,"Haast Junction, Cnr SH6 & Jackson Bay Road",haastvc@doc.govt.nz,0064 3 750 0809,"Open daily:
Peak 9:00 am - 6:00 pm
Off-peak 9:00 am - 4:30 pm.
Closed daily 12:30 pm - 1:00 pm  ",169.0467171,-43.8640581,Visitor Centre,Any
328,Hawke's Bay Regional Visitor Centre,"Conservation House, 59 Marine Parade,",hawkesbayvc@doc.govt.nz,0064 6 834 3111,Open Mon - Fri 9:00 am - 4:15 pm,176.9191352,-39.4884232,Visitor Centre,Any
