Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"14 mile marker (one of the last original distance markers)"," ","Historic site","172.227485","-40.879356"," "," "
"Gunner bridge"," ","Generic POI","172.138267","-40.956943","-7","10"
"Heaphy Pa site"," ","Historic site","172.110576","-40.98464","30","-25"
"Heaphy River Lagoon"," ","Lake River stream beach","172.10876","-40.983563"," ","-30"
"Heaphy River view from Mackay Hut"," ","Scenic Lookout","172.110912","-40.987103","30","-7"
"Kiwi at Mackay and Lewis Huts"," ","Birdwatching","172.148071","-40.938351","30"," "
"Lewis Giant Rata tree"," ","Generic POI","172.146529","-40.94006","-30","-35"
"Limestone bluffs Heaphy Valley  (Between Lewis and Heaphy Huts on the TL of the Heaphy River)"," ","Generic POI","172.250591","-41.787504"," "," "
"Nikau palms Heaphy Valley and coastal ( two Headed Nikau limestone section )"," ","Generic POI","172.143357","-40.95299"," "," "
"Scotts Hill lookout"," ","Scenic Lookout","172.101729","-41.096805"," ","5"
"Heaphy Hut","The Heaphy Hut is located right next to one of New Zealand's oldest and most interesting archaeological sites - an ancient village situated on a nearby river bank  believed to have been settled by Polynesians in the 13th - 14th century. ","Hut","172.103576","-41.089739"," "," "
"Heaphy Hut and Campsite"," ","Camphut","172.111158","-40.984753"," ","30"
"Land snails","Kahurangi National Park harbours half of New Zealand's 40 species of carnivorous land snail (Powelliphanta). Look out for one on the track  particularly near limestone outcrops where there is enough calcium to nourish their sizeable shells! ","Animal","172.108722","-40.990267","5","-20"
"Brown Hut and Brown River Campsite"," ","Camphut","172.447161","-40.84845","27"," "
"Aorere Shelter"," ","Shelter","172.440161","-40.892752"," ","-30"
"Aorere Campsite"," ","Campsite","172.439161","-40.893252"," "," "
"Lookout Point"," ","Feature","172.42116","-40.902552"," "," "
"Perry Saddle Hut and Campsite"," ","Camphut","172.40316","-40.899952"," "," "
"Gouland Downs Hut and Campsite"," ","Camphut","172.35416","-40.889152"," "," "
"Saxon Hut and Campsite"," ","Camphut","172.30916","-40.884851"," "," "
"James Mackay Hut and Campsite"," ","Camphut","172.218159","-40.884051"," "," "
"Lewis Hut"," ","Hut","172.148158","-40.938452"," "," "
"Katipo Creek Shelter"," ","Shelter","172.107158","-41.042454"," ","15"
"Katipo Creek Campsite"," ","Campsite","172.107158","-41.042354"," ","-15"
"Scotts Beach Campsite"," ","Campsite","172.105158","-41.086655"," ","-20"
"Kohaihai Shelter"," ","Shelter","172.103157","-41.106855"," "," "
