Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Alpine tussock clearing","At around 1000 metres the track emerges from the bush into a large alpine tussock clearing. For most of the day you will be enjoying an adventure above the clouds surrounded by golden tussock and views that take your breath away. ","viewpoints","167.635757","-45.398367"," "," "
"Hanging Valley Shelter","A favourite lunch stop with amazing views.","Shelter","167.536215","-45.382895"," "," "
"Limestone Bluffs","The Kepler Mountains are built of metamorphic and plutonic rocks, formed deep in the earth's crust. Resting on this basement material are younger sediments like limestone, which formed when the area subsided below sea level before being raised again. Impressive limestone bluffs can be seen on the track just below the bushline on Mount Luxmore. ","Feature","167.640659","-45.404261"," "," "
"Moturau Hut","lake Manapouri is often described as the 'loveliest' of all lakes with its array of 33 small islands, backdrop of the majestic Cathedral Mountain range, native bush clad edges, sandy beaches and coves. The situation of Moturau Hut on the shores of lake Manapouri makes the most of this beautiful area.","Hut","167.6107","-45.481732"," "," "
"Mt Luxmore Summit","A 10 minute side trip to the summit (1472 metres) provides stunning panoramic views in fine weather.","generic-poi","167.590505","-45.386188"," "," "
"The Big Slip","A massive slip that swept across the Iris Burn Valley in 1984 clearing everything in its path.","animal","167.525196","-45.412476"," "," "
"Iris Burn Falls","Take a 15 minute stroll from Iris Burn Hut to reach Iris Burns Falls. The falls are a great place for an icy cold swim to refresh you after a day's walking.","waterfall","167.496298","-45.395802"," "," "
"Listen for kiwi (near Iris Burn Hut)","Listen out for the call of kiwi from Iris Burn Hut. Fiordland kiwi (tokoeka) can be heard on the Kepler Track. ","birdwatching","167.509792","-45.398992"," ","-30"
"Luxmore Cave","Explore an amazing limestone cave! Grab a torch and take a quick 10 minute stroll from Luxmore Hut to the cave. Just 30 metres into the cave you'll find stalactites and stalagmites.","generic-poi","167.615291","-45.389718","-5","5"
"Rainbow Reach Swing Bridge","Swing bridges make for an entertaining journey over rivers and creeks. The Rainbow Reach swing bridge crosses the Waiau River and makes an impressive entry/exit point for the track.","generic-poi","167.663158","-45.491171"," ","-40"
"Luxmore Hut","Watch the sunrise from Luxmore Hut and take in splendid views of lake Te Anau right across to the Murchison Mountains.","Hut","167.635778","-45.39836"," "," "
"Kepler Track Shelter"," ","Shelter","167.688915","-45.442282"," "," "
"Brod Bay Campsite and Shelter"," ","campsite","167.672868","-45.403603"," "," "
"Forest Burn Shelter"," ","Shelter","167.571802","-45.389509"," "," "
"Iris Burn Hut and Campsite"," ","camphut","167.509567","-45.398955"," "," "
"Rocky Point Shelter"," ","Shelter","167.567234","-45.448422"," "," "
"Rainbow Reach Carpark Shelter"," ","Shelter","167.663499","-45.491692"," "," "
"Fiordland National Park Visitor Centre"," ","VisitorCentre","167.718868","-45.423691"," "," "
