Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Aniwaniwa falls on the Hinerau track"," ","Waterfall","177.161625","-38.741872"," ","25"
"Bald Knob","Views from Bald Knob and feeling of dangling over the Lake from verrrrry high up in the sky","Scenic Lookout","177.069668","-38.793267"," "," "
"Lake Waikareiti","Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb)","Lake River stream beach","177.170307","-38.71101"," "," "
"Lou's Lookout"," ","Scenic Lookout","177.129816","-38.78848"," "," "
"Mist off Lake Waikaremoana","Mist rising off the Lake in the morning","Lake River stream beach","177.086341","-38.767272"," ","10"
"Onepoto Caves"," ","Generic POI","177.123876","-38.796824","3","25"
"Onepoto Redoubt"," ","Historic site","177.120138","-38.802269"," ","15"
"Ruapani tarns walkway","Good running loop - through the different forest types - swamps  wetlands and tarns","Side trip","177.163283","-38.741294","7"," "
"Waikaremoana Motor Camp","Kick back and relax at the Waikaremoana Motor Camp","Camping","177.155813","-38.751675"," "," "
"Korokoro Falls","The Korokoro Falls are well worth the detour. The spectacular waterfall drops off a sheer cliff amidst native rain forest - very instagrammable! It's a 30 minute walk just before the suspension bridge.","Waterfall","176.976719","-38.796601"," "," "
"Maori History","If the weather is less than postcard-blue skies  remember that the remote Te Urewera National Park has been home to Ngai Tuhoe  the local Maori people  who call themselves Nga Tamariki o te Kohu - the children of the mist. If you're spending a rainy evening by the hut fireside  why not take a guidebook and take the opportunity to learn the names of some plants or bird in Te Reo Maori?","Historic site","177.060216","-38.767519"," "," "
"Panekire Hut","Climbing to 1185 m to Panekire Hut  views of the ocean and the Lake - sunrise through the goblin forest trees at the top","Scenic Lookout","177.052079","-38.810625"," "," "
"Swimming in the lake!","Take your swimming gear! The cool  crystal clear water will be heavenly refreshing after a long day's walk. There are plenty of spots  and most of the huts and campsites have great swimming too.","Swimming","177.076341","-38.767272"," "," "
"Hopuruahine Shelter"," ","Shelter","177.063216","-38.709731"," "," "
"Marauiti Hut and Maraunui Campsite"," ","Camphut","176.996216","-38.765931","-30","10"
"Tapuaenui Shelter"," ","Shelter","177.052216","-38.734531"," ","25"
"Korokoro Campsite"," ","Campsite","176.987216","-38.791931"," "," "
"Waiopaoa Hut and Campsite"," ","Camphut","176.993216","-38.807331"," "," "
"Tapuaenui Campsite"," ","Campsite","177.052216","-38.734131"," "," "
"Waiharuru Hut"," ","Camphut","177.033216","-38.741831","40","0"
"Korokoro Camping Shelter"," ","Shelter","176.986216","-38.792831"," ","25"
"Maraunui Camping Shelter"," ","Shelter","176.988216","-38.766731"," ","8"
"Onepoto Bay Shelter"," ","Shelter","177.120216","-38.798631"," ","10"
"Whanganui Hut"," ","Hut","177.040216","-38.718731"," "," "
"Aniwaniwa Visitor Centre"," ","VisitorCentre","177.160216","-38.740931"," "," "
"Waikaremoana Motor Camp"," ","Feature","177.090216","-38.731831"," "," "
"Armed Constablulary Redoubt"," ","Feature","177.115216","-38.800831"," "," "
"Panekiri Bluff"," ","Feature","177.089216","-38.788031"," "," "
