Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Bridal Veil Falls"," ","Waterfall","168.258581","-44.708768","-22"," "
"Harris Saddle"," ","Generic POI","168.172496","-44.724033","-45"," "
"Lake Harris"," ","Lake","168.174172","-44.723652","10"," "
"Routeburn Falls"," ","Waterfall","168.19919","-44.723887"," "," "
"Routeburn Falls Hut"," ","Hut","168.19919","-44.723887"," ","30"
"View from 'The Big Slip'"," ","Scenic Lookout","168.209542","-44.728735"," "," "
"View of Hollyford Valley & Darran Mountains"," ","Scenic Lookout","168.167388","-44.73076"," "," "
"Ponamu trail","Follow in the footsteps of the ancient Tai Poutini iwi (tribe) who regularly walked the Routeburn Valley to the head of Lake Whakatipu in search of Pounamu (jade/greenstone)  a prized stone used for tools  weapons and ornaments.","Historic site","168.117756","-44.823138","25"," "
"Routeburn Gorge","Gorge-ous! History buffs will love the old forge and blacksmiths camp. From here  a short track leads to the site which supported construction of the early bridle track.","Historic site","168.247086","-44.713343"," "," "
"Spot Mohua","Spot the endangered mohua (yellowhead). This cute little songster is often perched high in the treetops. Listen out its distinctive chirpy song as you're walking the first 3 km of the track.","Birdwatching","168.259827","-44.709"," "," "
"Routeburn Flats Hut and Campsite"," ","Camphut","168.211061","-44.723359"," "," "
"Conical Hill"," ","Feature","168.16906","-44.719958"," "," "
"Harris Saddle Shelter"," ","Shelter","168.17106","-44.725759"," "," "
"Lake Mackenzie Hut and Campsite"," ","Camphut","168.176061","-44.76256"," "," "
"Lake Howden Hut"," ","Hut","168.13506","-44.814962"," "," "
"Key Summit Lookout"," ","Feature","168.126059","-44.813162"," "," "
"The Divide Shelter"," ","Shelter","168.117059","-44.823563"," "," "
"Routeburn Roadend Shelter"," ","Shelter","168.279063","-44.717158"," "," "
"Lake Howden Campsite"," ","Campsite","168.13706","-44.823863"," "," "
