Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Tama Lakes","Take the turn off to Tama Lakes from the main track. The two lakes  in filled explosion craters  are named after the high chief Tamatea  who explored the area six centuries ago.","Lake","175.606524","-39.19951"," "," "
"Taranaki Falls","Tumbling 20 m over the edge of a large lava flow  which erupted from Ruapehu 15 000 years ago  Taranaki Falls plunge into a boulder-ringed pool. A looped track  allow 2 hours for the return trip.","Waterfall","175.565301","-39.194992"," "," "
"Volcanoes","Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro  Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ","Volcano","175.635076","-39.156604"," "," "
"Mangatepopo Hut and Campsite"," ","Camphut","175.597207","-39.142835"," "," "
"Waihohonu Hut"," ","Hut","175.683208","-39.208136"," "," "
"Oturere Hut and Campsite"," ","Camphut","175.689207","-39.157535"," "," "
"Mangatepopo Roadend Shelter"," ","Shelter","175.581206","-39.142735"," "," "
"Upper Tama Lake"," ","Feature","175.622207","-39.183136"," "," "
"Ohinepango Springs"," ","Feature","175.676208","-39.214537"," "," "
"Old Waihohonu Hut"," ","Feature","175.673208","-39.207536"," "," "
"Soda Springs"," ","Feature","175.622207","-39.136535"," "," "
"Blue Lake"," ","Feature","175.661207","-39.122935","-15","-10"
"Red Crater"," ","Feature","175.651207","-39.134835"," "," "
"Emerald Lakes"," ","Feature","175.655207","-39.132235"," ","-20"
"Tongariro National Park Visitor Centre"," ","VisitorCentre","175.540207","-39.199836"," ","30"
"Whakapapa Motor Camp"," ","Campsite","175.540207","-39.201037"," "," "
"Ketetahi Roadend Shelter"," ","Shelter","175.662206","-39.074334"," "," "
"Waihohonu Campsite"," ","Campsite","175.683208","-39.208336"," "," "
