Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Whakahoro Campsite"," ","Campsite","175.071204","-39.107437"," "," "
"Tieke Kainga and Campsite","Learn about the history of Tieke and the tikanga (protocol) of the marae.","Camphut","174.993206","-39.33574"," "," "
"Bridge to Nowhere","Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.","Side trip","174.974622","-39.276647"," "," "
"Manganui o te Ao"," ","Feature","175.047207","-39.401441"," "," "
"Mangapapa Campsite"," ","Campsite","174.999204","-39.127738"," "," "
"John Coull Hut and Campsite"," ","Hut","174.914205","-39.23094"," "," "
"Ohinepane Campsite"," ","Campsite","175.146203","-38.939834"," "," "
"Poukaria Campsite"," ","Campsite","175.120203","-38.990335"," "," "
"Maharanui Campsite"," ","Campsite","175.045203","-39.071837"," "," "
"Ohauora Campsite"," ","Campsite","174.959204","-39.169339"," "," "
"Mangawaiiti Campsite"," ","Campsite","174.905206","-39.28234"," "," "
"Mangapurua Campsite"," ","Campsite","174.967206","-39.27894"," "," "
"Ngaporo Campsite"," ","Campsite","175.036207","-39.423041"," "," "
"Ohura Falls"," ","Feature","175.038203","-39.052937"," "," "
"John Coull Campsite"," ","Campsite","174.914205","-39.23124"," "," "
