CSV ID,GreatWalk,Map icon name,Plotted on app,Action,Description,Longitude,Latitude,New Longitude,New Latitude,POIIconType,Reviewed,Comments
77,TongariroNorthernCircuit,Tama Lakes,Yes,Check co-ordinates,"Take the turn off to Tama Lakes from the main track. The two lakes, in filled explosion craters, are named after the high chief Tamatea, who explored the area six centuries ago.",175.606317,-39.201274,175.606524,-39.19951,Lake,Andrew Evans,Okay
78,TongariroNorthernCircuit,Taranaki Falls,Yes,Change description and check co-ordinates,"Tumbling 20 metres over the edge of a large lava flow, which erupted from Ruapehu 15,000 years ago, Taranaki Falls plunge into a boulder-ringed pool. A looped track, allow 2 hours for the return trip.",175.565094,-39.196756,175.565301,-39.194992,Waterfall,Andrew Evans,New coordinate
79,TongariroNorthernCircuit,Volcanoes,Yes,Check co-ordinates,"Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro, Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ",175.634869,-39.158368,175.635076,-39.156604,Volcano,Andrew Evans,Okay
102,TongariroNorthernCircuit,Mangatepopo Hut and Campsite,Yes,Check co-ordinates,,175.597,-39.1446,175.597207,-39.142835,Camphut,Andrew Evans,New coordinate
103,TongariroNorthernCircuit,Waihohonu Hut and Campsite,No,"Change map icon name, replace camping icon with hut/campsite icon and check co-ordinates",,175.683,-39.2099,175.683208,-39.208136,Hut,Andrew Evans,New coordinate
104,TongariroNorthernCircuit,Oturere Hut and Campsite,Yes,Check co-ordinates,,175.689,-39.1593,175.689207,-39.157535,Camphut,Andrew Evans,New coordinate
105,TongariroNorthernCircuit,Mangatepopo Roadend Shelter,Yes,Check co-ordinates,,175.581,-39.1445,175.581206,-39.142735,Shelter,Andrew Evans,New coordinate
106,TongariroNorthernCircuit,Upper Tama Lake,Yes,Check co-ordinates,,175.622,-39.1849,175.622207,-39.183136,Feature,Andrew Evans,New coordinate
107,TongariroNorthernCircuit,Ohinepango Springs,Yes,Add description and check co-ordinates,Crystal clear cold water bubbles up from beneath an old lava flow and discharges at an enormous rate into the Ohinepango Stream. To reach the springs follow the Round the Mountain (Mt Ruapehu) side track from Waihohonu Hut - 1 hour return trip.,175.676,-39.2163,175.676208,-39.214537,Feature,Andrew Evans,Okay
108,TongariroNorthernCircuit,Historic Waihohonu Hut,Yes,"Add description, change map icon name and check co-ordinates","The hut was completed in 1904 by the Tourist and Health Resorts Department for park visitors and tourists travelling by coach from Waiouru or Tokaanu. It was the first hut built in Tongariro National Park, and the oldest example of a typical early two-room mountain hut in New Zealand. It was actively used for over 60 years, and remains standing on its original site. To reach this historic hut, follow the main track from the new Waihohonu Hut (20 minutes return).",175.673,-39.2093,175.673208,-39.207536,Feature,Andrew Evans,New coordinate
109,TongariroNorthernCircuit,Soda Springs,Yes,Add description and check co-ordinates,Near the head of the Mangatepopo Valley a short side track leads to Soda Springs. The springs are an oasis for the moisture loving yellow buttercups and white foxgloves. 10-15 minutes return.,175.622,-39.1383,175.622207,-39.136535,Feature,Andrew Evans,New coordinate
110,TongariroNorthernCircuit,Blue Lake,Yes,Check co-ordinates,,175.661,-39.1247,175.661207,-39.122935,Feature,Andrew Evans,Okay
