CSV ID,GreatWalk,Name,Description,Longitude,Latitude,POIIconType,PixelOffsetLeft,PixelOffsetTop,Reviewed,Comments
1,AbelTasman CoastTrack,Falls River suspension bridge,,173.04887,-40.926959,Generic POI,,,Andrew Evans,New coordinate
2,AbelTasman CoastTrack,Mutton Cove,,172.99539,-40.785885,Generic POI,,-15,Andrew Evans,Okay
3,AbelTasman CoastTrack,Separation Point,,174.139215,-41.312709,Natural feature,,,Andrew Evans,Okay
4,HeaphyTrack,14 mile marker (one of the last original distance markers),,172.227485,-40.879356,Historic site,,,Andrew Evans,Cannot locate
5,HeaphyTrack,Gunner bridge,,172.138267,-40.956943,Generic POI,-7,10,Andrew Evans,New coordinate
6,HeaphyTrack,Heaphy Pa site,,172.110576,-40.98464,Historic site,30,-25,Andrew Evans,Cannot locate
7,HeaphyTrack,Heaphy River Lagoon,,172.10876,-40.983563,Lake River stream beach,,-30,Andrew Evans,Cannot locate
8,HeaphyTrack,Heaphy River view from Mackay Hut,,172.110912,-40.987103,Scenic Lookout,30,-7,Andrew Evans,Cannot locate
9,HeaphyTrack,Kiwi at Mackay and Lewis Huts,,172.148071,-40.938351,Birdwatching,30,,Andrew Evans,Cannot locate
10,HeaphyTrack,Lewis Giant Rata tree,,172.146529,-40.94006,Generic POI,-30,-35,Andrew Evans,Okay
11,HeaphyTrack,Limestone bluffs Heaphy Valley  (Between Lewis and Heaphy Huts on the TL of the Heaphy River),,172.250591,-41.787504,Generic POI,,,Andrew Evans,Okay
12,HeaphyTrack,Nikau palms Heaphy Valley and coastal ( two Headed Nikau limestone section ),,172.143357,-40.95299,Generic POI,,,Andrew Evans,Cannot locate
13,HeaphyTrack,Scotts Hill lookout,,172.101729,-41.096805,Scenic Lookout,,5,Andrew Evans,New coordinate
14,KeplerTrack,Alpine Tussock grassland,At around 1000m the track emerges from the bush into the alpine tussock grassland  for most of the day you will be enjoying an adventure above the clouds surrounded by golden tussock and views that take your breath away. ,167.63463,-45.397858,Generic POI,,,Andrew Evans,Okay
15,KeplerTrack,Hanging Valley Shelter,A favourite lunch stop with amazing views,167.53583,-45.381392,Scenic Lookout,,,Andrew Evans,New coordinate
