CSV Idd,GreatWalk,Name,Action,Description,Longitude,Latitude,POIIconType,Comments
3,AbelTasmanCoastTrack,Separation Point,"Add co-ordinates, add description and binoculars icon to map","From Mutton Cove a track leads to Separation Point, where fur seals breed. This track rejoins the main Coast Track at the saddle above Whariwharangi Bay (1 hour).",174.139215,-41.312709,Natural feature,Okay
133,AbelTasmanCoastTrack,Whariwharangi Hut and Campsite,"Change map icon name, amend description and check co-ordinates","Stay in an historic homestead, which is now a DOC hut.",172.97417,-40.787248,Camphut,New coordinate
1,AbelTasmanCoastTrack,Falls River suspension bridge,Check co-ordinates,,173.04887,-40.926959,Generic POI,New coordinate
2,AbelTasmanCoastTrack,Mutton Cove,Check co-ordinates,,172.99539,-40.785885,Generic POI,Okay
52,AbelTasmanCoastTrack,Cleopatras Pool,Check co-ordinates,"Swim at Cleopatras Pool, a natural rock pool with a moss-lined waterslide that is fit for a queen! From Torrent Bay estuary, a 20 minute walk takes you to this refreshing pool.",173.037268,-40.954401,Swimming,New coordinate
53,AbelTasmanCoastTrack,Onetahuti Beach,Check co-ordinates,"Rest your weary walking feet at Onetahuti Beach. Shaped like a horse shoe it's one of the longest and most beautiful beaches in the park. Swim, snorkel or soak up the sunshine!",173.048576,-40.883559,Swimming,Okay
132,AbelTasmanCoastTrack,Wainui Carpark Shelter,Check co-ordinates,,172.957169,-40.808148,Shelter,Cannot locate
134,AbelTasmanCoastTrack,Mutton Cove Campsite,Check co-ordinates,,172.99417,-40.789248,Campsite,New coordinate
135,AbelTasmanCoastTrack,Anapai Campsite,Check co-ordinates,,173.00417,-40.801049,Campsite,New coordinate
136,AbelTasmanCoastTrack,Totaranui Campsite,Check co-ordinates,,173.004171,-40.820949,Campsite,Okay
137,AbelTasmanCoastTrack,Waiharakeke campsite,Check co-ordinates,,173.016171,-40.84755,Campsite,New coordinate
138,AbelTasmanCoastTrack,Awaroa Hut and Campsite,Check co-ordinates,,173.018171,-40.86345,Camphut,New coordinate
139,AbelTasmanCoastTrack,Onetahuti Beach Campsite,Check co-ordinates,,173.047172,-40.887251,Campsite,New coordinate
141,AbelTasmanCoastTrack,Tonga Quarry Campsite,Check co-ordinates,,173.051172,-40.892551,Campsite,New coordinate
142,AbelTasmanCoastTrack,Medlands Beach Campsite,Check co-ordinates,,173.055172,-40.919152,Campsite,New coordinate
143,AbelTasmanCoastTrack,Torrent Bay Village Campsite,Check co-ordinates,,173.046172,-40.945753,Campsite,New coordinate
144,AbelTasmanCoastTrack,Te Puketea Campsite,Check co-ordinates,,173.064172,-40.951453,Campsite,New coordinate
145,AbelTasmanCoastTrack,Anchorage Hut and Campsite,Check co-ordinates,,173.060172,-40.954653,Camphut,New coordinate
146,AbelTasmanCoastTrack,Watering Cove Campsite,Check co-ordinates,,173.056172,-40.962053,Campsite,New coordinate
147,AbelTasmanCoastTrack,Akersten Bay Campsite,Check co-ordinates,,173.047172,-40.970354,Campsite,New coordinate
148,AbelTasmanCoastTrack,Apple Tree Bay Campsite,Check co-ordinates,,173.038172,-40.980554,Campsite,New coordinate
149,AbelTasmanCoastTrack,Tinline campsite,Check co-ordinates,,173.025172,-40.986754,Campsite,New coordinate
150,AbelTasmanCoastTrack,Marahau Roadend Information Shelter,Check co-ordinates,,173.005171,-40.994254,Shelter,New coordinate
151,AbelTasmanCoastTrack,Adele Island,Check co-ordinates,,173.060172,-40.977454,Feature,Okay
54,AbelTasmanCoastTrack,Pitt Head,Check co-ordinates and amend description,"Enjoy a 1 hour 20 minute return trip from Anchorage Hut to reach Pitt Head, an old pa site, and enjoy great coastal views from Te Pukatea Bay.",173.067414,-40.946592,Historic site,New coordinate
